 T: 2018-02-07 20:32:44,399 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:44,421 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:44,559 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:50,488 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:50,488 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:50,488 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:50,492 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:50,494 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:51,642 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:51,642 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:51,642 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:32:51,644 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ef94059-092e-4e44-b5db-4d3ee46832c2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
