 T: 2018-02-07 21:01:21,335 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:21,354 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:21,497 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,024 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,024 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,024 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,029 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,031 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,566 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,566 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 21:01:29,566 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd73b50a4-796f-4032-9a6e-84be9ebac619' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
