 T: 2018-02-07 22:34:11,690 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:11,725 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:11,777 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,318 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,318 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,318 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,323 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,325 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,842 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,842 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:34:23,842 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ae6fe9c0-b342-437e-8407-301671cc5f7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
