 T: 2018-02-07 22:38:55,295 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:38:55,324 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:38:55,464 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,467 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,467 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,467 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,472 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,473 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,996 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,996 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 22:39:01,996 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '70c10c5a-130f-44f1-9dd7-e6a85e6b05ec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
