 T: 2018-02-09 14:22:56,778 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:22:56,795 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:22:56,845 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,222 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,222 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,222 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,226 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,228 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 14:24:05,541 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8b0bbaee-ed91-45f3-8362-a587eaced3eb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
