 T: 2018-02-09 15:41:32,032 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:32,052 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:32,110 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:37,931 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:37,931 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:37,932 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:37,938 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:37,940 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,278 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,278 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,278 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,280 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,281 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,429 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,429 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,429 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'aa773732-90c2-4f4e-acc0-b0e25ec87c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,508 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '6941d0d2-890c-4a41-bd0a-d11080bfa682' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:41:38,509 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '6941d0d2-890c-4a41-bd0a-d11080bfa682' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
