 T: 2018-02-09 15:47:46,083 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:46,099 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:46,162 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:53,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:53,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:53,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:53,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:53,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c9834ecc-46b0-4ecb-8763-1d42ba76adca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,629 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '6cdefa7f-5f88-44f9-972b-bf72270a1e11' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,629 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '6cdefa7f-5f88-44f9-972b-bf72270a1e11' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:47:54,629 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '6cdefa7f-5f88-44f9-972b-bf72270a1e11' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
