 T: 2018-02-09 15:54:25,850 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:25,865 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:25,928 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:33,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:33,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:33,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:33,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:33,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:34,037 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:34,037 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:54:34,037 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8d03a17d-c663-4246-b0db-ad10678a037c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
