 T: 2018-02-09 16:03:01,440 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:01,456 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:01,597 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,722 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,722 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,722 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:03:09,722 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '59363817-472e-46c0-8333-1b9e45709bec' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
