 T: 2018-02-09 16:06:03,839 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:03,855 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:03,902 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:11,714 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:11,714 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:11,714 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:11,714 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:11,714 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:12,089 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:12,089 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:06:12,089 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9d9b4d5e-d9c2-49d6-a59a-ca64794577f0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
