 T: 2018-02-09 16:09:03,154 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:03,172 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:03,213 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,046 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,048 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,445 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,445 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:09:10,445 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63ab013a-fa4e-4638-bf7e-727488c83346' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
