 T: 2018-02-09 16:13:10,480 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:10,497 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:10,538 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,428 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,430 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,796 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:16,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '047805ce-bb0a-4ace-9317-426d9e75b6bc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:17,075 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'b7f16928-6841-477a-930e-74019a282fca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:13:17,076 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'b7f16928-6841-477a-930e-74019a282fca' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
