 T: 2018-02-09 16:21:58,291 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:21:58,307 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:21:58,369 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,432 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,432 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:22:06,432 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2018d275-8b45-427d-b675-cc45eb6ac69c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
