 T: 2018-02-09 16:40:02,838 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:02,855 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:02,928 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:08,763 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:08,763 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:08,763 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:08,768 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:08,770 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,143 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,143 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,143 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,145 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,146 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,296 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,296 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,296 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f8204254-e55d-4397-9b94-011bfe1cba97' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,422 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,423 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:09,424 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:10,657 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:10,657 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:10,657 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:10,658 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:10,658 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,358 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,358 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,358 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,359 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,544 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,545 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,545 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,545 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:40:11,546 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '746fbacc-ef3c-419e-97b7-26e41a6938f8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
