 T: 2018-02-09 16:48:58,857 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:48:58,888 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:48:58,935 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:49:06,951 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '837610a6-9f52-422e-8c84-ac7c1b26b4cb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
