 T: 2018-02-09 16:59:14,676 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:14,699 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:14,801 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:32,644 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:32,644 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:32,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:32,649 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:32,651 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:33,036 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:33,036 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:33,036 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:33,038 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:59:33,039 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '28d114cf-c33f-4cd8-a991-9c1861e2a06d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
