 T: 2018-02-09 17:03:50,813 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:50,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:50,875 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,797 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:58,954 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c6fda7c5-bcee-49a6-b7db-76e09baad1b5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:59,141 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'dc769c40-e724-4b98-bb97-5b10c608ee55' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:59,141 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'dc769c40-e724-4b98-bb97-5b10c608ee55' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:03:59,141 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'dc769c40-e724-4b98-bb97-5b10c608ee55' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:04:00,594 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'dc769c40-e724-4b98-bb97-5b10c608ee55' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
