 T: 2018-02-09 17:14:42,582 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:42,602 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:42,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,101 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,101 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,101 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,106 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,108 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,673 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,673 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:14:49,673 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c773a7e6-a49a-4949-92c2-8e4b790998cd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
