 T: 2018-02-09 17:21:05,440 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:05,456 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:05,534 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:13,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:13,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:13,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:13,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:13,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,378 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:21:14,378 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b354a3ad-07b8-4636-82c0-6f65a46b360d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
