 T: 2018-02-09 17:28:25,716 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:25,731 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:25,810 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:33,653 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:33,653 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:33,653 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:33,653 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:33,653 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,294 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,294 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:28:34,294 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f82478b7-ba40-4930-a0ea-a138e06c761e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
