 T: 2018-02-09 17:35:54,137 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:35:54,159 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:35:54,241 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,617 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,618 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,995 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:00,996 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6d9a7317-9573-43e8-8531-a7b28c2296cc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,226 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '9560adfb-7ddd-4763-b1ee-76a363d2ba24' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,226 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '9560adfb-7ddd-4763-b1ee-76a363d2ba24' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:36:01,227 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '9560adfb-7ddd-4763-b1ee-76a363d2ba24' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
