 T: 2018-02-09 17:40:02,667 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:02,683 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:02,763 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:08,735 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:08,735 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:08,735 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:08,741 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:08,744 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:09,116 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:09,116 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:40:09,116 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bfadf3fa-0677-450e-bbf3-8f28f8e238be' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
