 T: 2018-02-09 17:51:30,133 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:30,150 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:30,206 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,240 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,241 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,241 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,246 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,249 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,657 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,657 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,657 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 17:51:36,660 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8a13578d-97b6-4d4a-bc62-d6c11d7ec617' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
