 T: 2018-02-09 18:03:20,119 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:20,134 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:20,230 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,064 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,065 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,065 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,068 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,070 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,426 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,426 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:03:26,426 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39761c5b-1414-4e85-aa18-daf460779678' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
