 T: 2018-02-09 18:08:48,024 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:48,039 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:48,106 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:55,694 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:55,694 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:55,694 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:55,698 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:55,700 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:56,102 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:56,102 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:56,102 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:56,104 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:08:56,105 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c3536cb4-c1de-40de-ad5f-a2046aed3e2f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
