 T: 2018-02-09 18:44:14,542 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:14,558 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:14,599 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,362 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,362 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,362 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,367 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,370 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 18:44:20,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fd37df1b-e99f-4fe1-a646-00e2a5ab2b23' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
