 T: 2018-02-09 19:49:22,943 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:22,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:23,005 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,122 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,124 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,500 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,501 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:49:32,637 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e40cad5-48c8-487e-aecb-6a6acca0eec1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
