 T: 2018-02-09 19:53:13,147 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:13,164 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:13,236 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,043 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,043 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,043 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,048 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,049 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,414 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,414 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:53:19,414 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '547029ef-d101-4d1d-99b8-94e7e56539ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
