 T: 2018-02-09 19:54:49,319 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:49,338 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:49,382 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,176 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,176 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,177 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,181 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,183 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,625 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,625 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 19:54:56,625 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5e218d0a-1c8e-4a4d-b7f1-3822a80c8ea4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
