 T: 2018-02-09 20:14:32,127 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:32,146 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:32,199 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:38,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:38,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:38,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:38,799 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:38,800 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:39,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:39,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:14:39,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'de75e251-901b-404a-90df-4672673c4583' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
