 T: 2018-02-09 20:35:17,210 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:17,236 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:17,338 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,431 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,431 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,431 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,435 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,437 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,958 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,960 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:23,961 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:24,107 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:35:24,107 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '93d87ff3-5d22-4843-b794-0a56c95c1a04' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
