 T: 2018-02-09 20:51:36,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:36,663 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:36,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,230 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,230 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,230 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,235 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,235 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,590 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,590 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:51:42,590 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f18f44c9-306e-4fa8-91fd-6afb9fddc7d0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
