 T: 2018-02-09 21:33:49,139 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:49,158 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:49,245 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:55,857 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:55,857 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:55,857 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:55,863 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:55,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:56,272 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:56,272 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:33:56,272 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0b288268-844d-443b-9a67-fb4f99a2820f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
