 T: 2018-02-09 21:42:34,036 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:34,067 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:34,114 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:42:41,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5f4d00a3-af84-4715-98fb-1c6dc870e49e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
