 T: 2018-02-09 22:00:47,522 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:47,537 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:47,574 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:53,632 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:53,632 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:53,632 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:53,636 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:53,638 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:54,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:54,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:54,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:54,120 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:00:54,121 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '22e5b800-0b98-49a4-b339-de7c8ec929df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
