 T: 2018-02-09 22:21:13,339 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:13,371 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:13,444 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,592 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,592 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,592 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,596 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,598 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 22:21:20,959 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67ff6635-9994-4b23-bf11-f156c60d3fff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
