 T: 2018-02-09 23:37:04,806 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:04,822 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:05,030 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:11,703 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:11,703 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:11,703 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:11,708 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:11,710 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:12,654 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:12,655 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:12,655 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 23:37:12,657 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd82da51a-6f81-4484-8dc5-7241da9e53ed' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
