 T: 2018-02-12 14:34:48,016 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:48,031 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:48,071 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,341 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,341 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,341 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,345 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,347 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,685 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,685 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:34:59,685 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '15696169-1781-4034-8386-de4a40173f7c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
