 T: 2018-02-12 14:39:35,330 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:35,345 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:35,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:40,928 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:40,928 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:40,928 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:40,932 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:40,934 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,264 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,264 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,264 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,266 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,267 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,403 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:39:41,403 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '47a610c5-be1d-41ed-b63e-950540317bb7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
