 T: 2018-02-12 14:52:29,543 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:29,564 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:29,627 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,577 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,577 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,577 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,581 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,583 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,911 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,911 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 14:52:38,911 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '39bb9385-b607-4155-8a40-73f3b9747297' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
