 T: 2018-02-12 15:42:10,628 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:10,656 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:10,759 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,337 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,337 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,337 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,342 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,344 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,781 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,781 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,781 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,783 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 15:42:18,784 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09e638a8-9224-474a-97cb-27ea8c0b4140' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
