 T: 2018-02-12 16:15:03,853 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:03,869 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:03,916 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:12,947 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:12,947 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:12,947 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:12,947 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:12,947 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,572 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,572 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,572 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,572 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,572 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,729 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,729 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,729 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e288e48b-8386-4ef5-8baa-b74bb7cb9ad6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,963 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '7a57a495-612c-4cdd-88ca-4b0c8a092a34' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,963 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '7a57a495-612c-4cdd-88ca-4b0c8a092a34' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:15:15,963 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '7a57a495-612c-4cdd-88ca-4b0c8a092a34' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
