 T: 2018-02-12 17:56:42,855 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:42,880 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:42,963 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,411 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,411 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,412 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,416 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,418 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,856 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,856 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 17:56:49,856 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '375fea8b-a9fb-4040-9e21-0b488e18251c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
