 T: 2018-02-12 18:19:20,089 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:20,105 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:20,136 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 18:19:28,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '33beffef-7156-4277-ba6e-fc0adbfaa982' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
