 T: 2018-02-12 21:22:41,257 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:41,272 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:41,329 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:47,567 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:47,568 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:47,568 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:47,571 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:47,573 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,201 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,201 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,201 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,203 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,204 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:22:48,366 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e715df9-6d24-4bb0-9c5f-4d25697687a1' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
