 T: 2018-02-12 21:26:18,178 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:18,196 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:18,299 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:23,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:23,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:23,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:23,980 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:23,982 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:24,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:24,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:26:24,332 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '190dd8ed-e4af-4879-81cf-0876d14390f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
