 T: 2018-02-12 21:32:16,259 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:16,280 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:16,401 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,269 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,269 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,269 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,273 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,275 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,684 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,684 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,684 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,686 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,687 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,840 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:32:22,840 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8ed417aa-4d97-4b47-9daf-1408d3576b48' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
