 T: 2018-02-12 21:52:53,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:52:53,922 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:52:53,969 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:01,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:01,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:01,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:01,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:01,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:02,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:02,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:53:02,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4323010a-2ecd-4de0-bb07-6a2a61c1ec63' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
