 T: 2018-02-13 16:16:50,013 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:50,031 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:50,076 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,016 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,018 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 16:16:56,424 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a4726d35-096b-4996-9b76-1af0eb1543a5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
