 T: 2018-02-02 20:07:45,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:45,622 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:45,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,372 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,372 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,372 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,372 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,372 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,731 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,731 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:07:55,731 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7666bd29-a6c1-4eb9-ac99-10053aafa153' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
