 T: 2018-02-02 20:16:31,769 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:31,787 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:31,820 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:37,906 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:37,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:37,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:37,911 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:37,913 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:38,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:38,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:16:38,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'da12514a-872b-4f31-80dd-a5269c17e79d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
