 T: 2018-02-02 20:22:20,504 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:20,536 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:20,583 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,473 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,473 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:22:28,473 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '543da454-abcc-43e1-a3eb-537b91b26dbb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
