 T: 2018-02-02 20:40:51,396 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:51,411 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:51,458 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:58,740 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:58,740 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:58,740 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:58,740 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:58,740 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:59,115 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:59,115 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:40:59,115 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '60624868-eb2f-4dcc-9dff-f53d3b4e0173' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
