 T: 2018-02-02 20:53:58,609 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:53:58,633 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:53:58,689 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,514 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,514 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,514 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,519 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,520 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,940 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,940 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:54:04,940 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5084f17f-6fa2-42d3-9325-900501c56c66' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
