 T: 2018-02-02 20:57:00,376 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:00,392 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:00,454 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:07,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:07,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:07,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:07,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:07,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:08,079 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:08,079 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:57:08,079 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '8f6d72f7-135e-487c-a1a7-edc36c744aa0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
