 T: 2018-02-02 21:44:51,891 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:44:51,922 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:44:51,985 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:00,860 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:00,860 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:00,860 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:00,860 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:00,860 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,250 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,407 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,407 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,407 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ab63815b-389b-4cb9-86a4-f3205ebaf20d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,469 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:01,469 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:35,251 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:38,535 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:44,737 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickSearchButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 21:45:46,253 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumberFromDB' with id 'b77de6bc-6eff-4d48-bf60-11256c2c66e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickSearchButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
