 T: 2018-02-02 22:22:20,200 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:20,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:20,278 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,216 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:22:28,825 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f1466017-2340-4b70-9483-949735b0d6d4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
