 T: 2018-02-02 22:24:49,642 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:49,668 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:49,813 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:55,698 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:55,698 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:55,698 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:55,703 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:55,704 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:56,124 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:56,124 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:56,124 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 22:24:56,126 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '41638a3c-a8e7-4c24-9130-48ba5ef2baf8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
