 T: 2018-02-08 15:14:13,421 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:13,443 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:13,550 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:19,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:19,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:19,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:19,923 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:19,926 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,345 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,345 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,345 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,348 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,349 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,498 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa3a29ce-940d-47bf-a29f-9c170562a47f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,613 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '01964c6c-da4c-44a5-b407-9d1553463c3f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,615 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '01964c6c-da4c-44a5-b407-9d1553463c3f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:14:20,615 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '01964c6c-da4c-44a5-b407-9d1553463c3f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
