 T: 2018-02-08 15:19:33,853 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:33,875 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:33,940 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,304 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,306 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,711 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,711 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:19:41,711 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'db925030-47e0-4f2f-aa9f-1edf42b98476' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
