 T: 2018-02-08 15:25:13,943 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:13,975 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:14,021 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:25,897 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:25,897 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:25,897 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:25,897 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:25,897 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,334 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,334 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,334 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,334 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,334 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,506 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,506 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,506 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'be0fb80e-646a-4bac-b985-0f64bee854a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,600 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e314e8b5-bae3-4a7e-b27f-c29b0fd56677' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,600 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e314e8b5-bae3-4a7e-b27f-c29b0fd56677' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:26,600 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e314e8b5-bae3-4a7e-b27f-c29b0fd56677' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:25:27,975 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e314e8b5-bae3-4a7e-b27f-c29b0fd56677' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
