 T: 2018-02-08 15:43:32,052 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:32,069 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:32,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,143 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,145 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,549 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,550 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,550 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,551 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,552 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,688 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,688 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,688 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fc5f8cf1-150b-4dd4-bbda-c23fffc82244' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 15:43:38,773 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id 'e3328f26-b6c5-4991-b25d-0b458f352f34' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
