 T: 2018-02-08 16:24:37,009 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:37,035 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:37,150 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,141 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,141 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,141 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,145 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,147 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,556 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,556 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 16:24:43,556 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '999e920e-ec29-4cce-9d56-9478ab6c76c9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
