 T: 2018-02-08 17:42:39,884 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:39,899 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:39,962 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:59,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:59,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:59,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:59,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:42:59,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:43:00,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:43:00,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:43:00,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:43:00,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6e318587-08a0-4d26-82ab-ab425248a6b2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
